"","state","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","ncesID","students","county_name","city"
"170","AZ","Chinle Unified School District No. 24","30511",2021,46092630,0,1372299,0,0,0,44012826,0,0,0,707505,2581615,15220693,825319,51469337,5249160,64847804,0,0,0,70096964,"0401940","3334","Apache County","CHINLE"
"171","AZ","Lake Havasu Unified School District No. 1","30578",2021,82604242,31327329,3672845,0,0,0,38000524,0,8180217,0,1423327,1718382,7736128,587943,41144714,154541,51032626,4071,2167,0,51187167,"0404280","5504","Mohave County","Lake Havasu City"
"172","AZ","Buckeye Elementary School District No. 33","1027344",2021,115749289,40013276,7140311,23963000,0,0,43480902,0,0,0,1151800,319857,9202904,2548449,45251205,-739874,58062289,0,0,0,57322415,"0401380","5560","Maricopa County","BUCKEYE"
"173","AZ","Dysart Unified School District No. 89","44818",2021,352969178,117643744,21365047,19104199,0,0,190721779,0,0,0,2601881,9015632,40982988,3834920,202016115,1992262,253857393,16094550,56767,0,255849655,"0402690","24590","Maricopa County","SURPRISE"
"174","AZ","Mingus Union High School District No. 4","46759",2021,17383934,6677480,176088,704938,0,0,9657802,0,0,0,167626,1155309,1701247,114210,11271365,649526,13592605,0,0,0,14242131,"0405070","1273","Yavapai County","COTTONWOOD"
"175","AZ","Glendale Union High School District No. 205","1027353",2021,367487881,168139382,11855324,7782911,0,0,149321682,0,24347566,0,6041016,5064427,28820884,858131,157752126,11326879,181168689,21973280,30746,0,192495568,"0403450","16401","Maricopa County","GLENDALE"
"176","AZ","Laveen Elementary School District No. 59","30549",2021,89966550,27037400,2526912,0,0,0,58447550,0,0,0,1142123,9236202,17658670,629579,56825406,3701762,80648095,0,0,0,84349857,"0404290","7492","Maricopa County","LAVEEN"
"177","AZ","Liberty Elementary School District No. 25","30550",2021,77677640,45562010,5198544,0,0,0,26677643,0,0,0,239443,358671,4915019,10633522,30876442,10589583,36194071,0,0,0,46783654,"0404320","3804","Maricopa County","BUCKEYE"
"178","AZ","Littleton Elementary School District No. 65","30552",2021,77140023,25248293,2136467,1573504,0,0,46360570,0,0,0,1821189,736340,9746888,4378637,47105680,5509308,56458237,0,0,0,61967545,"0404440","6206","Maricopa County","CASHION"
"179","AZ","Cave Creek Unified School District No. 93","30541",2021,87944762,30842497,3436272,10939938,0,0,41866070,0,0,0,859985,3446603,8857500,1194300,43419004,2660389,54257018,0,0,0,56917407,"0400001","5528","Maricopa County","CAVE CREEK"
"180","AZ","Mammoth-San Manuel Unified School District No. 8","91044",2021,6179807,0,133883,18141,0,0,5906611,0,0,0,121172,326249,1340706,362084,4578987,-153076,6761102,0,0,0,6608026,"0404570","604","Pinal County","SAN MANUEL"
"181","AZ","Marana Unified School District No. 6","30593",2021,289231090,151963374,11306291,13588624,0,0,109576378,0,0,0,2796423,3993482,18859933,537931,107806873,-2947173,134145392,10405710,0,0,131198219,"0404630","12796","Pima County","MARANA"
"182","AZ","Maricopa Unified School District No. 20","30602",2021,85628531,24971976,4512608,777516,0,0,55210956,0,0,0,155475,819144,10981049,6340744,69041012,12702771,74479178,0,0,0,87181949,"0404720","7492","Pinal County","MARICOPA"
"183","AZ","Mesa Unified School District No. 4","30554",2021,1014094248,354386988,72811015,0,0,0,567135119,0,0,0,19761126,14095278,128641768,7481087,552770062,35049185,667939010,53628117,292212,0,702988195,"0404970","62703","Maricopa County","MESA"
"184","AZ","Prescott Unified School District No. 1","30609",2021,40937271,10015560,674003,1570000,0,0,27887034,0,0,0,790674,1613076,5924502,2273069,30163332,2427535,37546444,0,0,0,39973979,"0406730","4094","Yavapai County","PRESCOTT"
"185","AZ","Pendergast Elementary School District No. 92","30558",2021,137647164,60380910,5007180,5512709,0,0,65236081,0,0,0,1510284,405265,21557199,3364052,68368223,13201303,80493436,0,0,0,93694739,"0406210","9161","Maricopa County","PHOENIX"
"186","AZ","Page Unified School District No. 8","45714",2021,28119980,0,994997,2842989,0,0,23522484,0,0,0,759510,1084954,6300088,614660,24568939,2294662,30273979,0,0,0,32568641,"0405820","2610","Coconino County","PAGE"
"187","AZ","Vail Unified School District No. 20","43227",2021,233769875,104931999,5769025,989001,852087,0,117631477,0,0,0,3596286,8328606,15650565,7628339,114474525,4016099,142065936,0,0,0,146082035,"0408850","13792","Pima County","VAIL"
"188","AZ","Tolleson Union High School District No. 214","30569",2021,307590518,190430030,18017691,158960,0,0,96879504,0,0,0,2104333,2570905,21417004,1240696,128951607,13030278,141149934,0,0,0,154180212,"0408520","12496","Maricopa County","TOLLESON"
"189","AZ","Nogales Unified School District No. 1","30605",2021,47358139,0,2398642,3368875,0,0,40207922,0,0,0,1382700,1076549,13040141,2780653,38760459,1691294,53966508,0,0,0,55657802,"0405530","5654","Santa Cruz County","NOGALES"
"190","AZ","Fort Huachuca Accommodation School District No. 00","44601",2021,11276493,0,688014,0,0,0,10352596,0,0,0,235883,31930,721407,274974,13136504,1933877,12230938,0,0,0,14164815,"0403150","910","Cochise County","FORT HUACHUCA"
"191","AZ","Queen Creek Unified School District No. 95","30562",2021,316860206,153127741,9490472,78426248,0,0,73648106,0,0,0,2167639,6390797,13614706,5453077,90549551,-291792,116299923,0,0,0,116008131,"0406810","9495","Maricopa County","QUEEN CREEK"
"192","AZ","Chandler Unified School District No. 80","30542",2021,900379070,472180565,25954079,0,0,0,391891230,0,0,0,10353196,20443324,70410633,3739444,409294541,38758303,465129639,0,0,0,503887942,"0401870","45749","Maricopa County","CHANDLER"
"193","AZ","Santa Cruz Valley Unified School District No. 35","30604",2021,50511359,17579800,3070571,4443237,0,0,24496234,0,0,0,921517,819874,5975058,1768862,26889250,1134941,34318103,0,0,0,35453044,"0407520","3550","Santa Cruz County","RIO RICO"
"194","AZ","Peoria Unified School District No. 11","30559",2021,553587463,196216686,41243403,6451724,0,0,275872852,0,23384551,1110889,10418247,3428025,76939624,3953270,291747612,23613799,352454732,0,0,0,376068531,"0406250","37842","Maricopa County","PEORIA"
"195","AZ","Roosevelt Elementary School District No. 66","30563",2021,212931613,89413356,8038464,23941024,0,0,86769480,0,0,0,4769289,1033560,34392707,5677402,89212515,17669630,112646554,0,0,0,130316184,"0407080","8660","Maricopa County","PHOENIX"
"196","AZ","Round Valley Unified School District No. 10","30516",2021,12170882,2444344,187385,12352,0,0,9202115,0,0,0,324686,551631,3087954,64475,11877730,765838,14815952,1997,509,0,15581790,"0407130","1350","Apache County","SPRINGERVILLE"
"197","AZ","San Carlos Unified School District No. 20","30531",2021,20877006,0,2097631,0,0,0,18400764,0,0,0,378611,424765,4457411,0,24802391,2156244,27528323,0,0,0,29684567,"0406960","1492","Gila County","SAN CARLOS"
"198","AZ","Sanders Unified School District No. 18","30514",2021,8554998,0,275981,0,0,0,8108811,0,0,0,170206,244738,3291276,289977,10577307,372149,14031149,0,0,0,14403298,"0406740","713","Apache County","SANDERS"
"199","AZ","Snowflake Unified School District No. 5","30585",2021,19911411,1330888,636872,1429184,0,0,16217623,0,0,0,296844,953834,3717138,812463,18285431,281949,23486917,0,0,0,23768866,"0407820","2584","Navajo County","SNOWFLAKE"
"200","AZ","Camp Verde Unified School District No. 28","103934",2021,14241973,0,80051,849167,0,0,12844149,0,0,0,468606,1216828,2927472,1205873,11184182,171546,16362809,0,0,0,16534355,"0401600","1660","Yavapai County","CAMP VERDE"
"201","AZ","Stanfield Elementary School District No. 24","91045",2021,4214361,0,578955,0,0,0,3584857,0,0,0,50549,40165,1073564,383695,3849843,621113,4726154,0,0,0,5347267,"0408130","427","Pinal County","STANFIELD"
"202","AZ","Sunnyside Unified School District No. 12","30595",2021,200901392,57265594,9590361,7910408,0,0,123974716,0,0,0,2160313,1534175,31027474,6951563,107422803,12343025,134592990,0,0,0,146936015,"0408170","15610","Pima County","TUCSON"
"203","AZ","J. O. Combs Unified School District No. 44","91043",2021,93337547,43501899,3827157,12319180,0,0,32644896,0,140404,129762,904011,225601,12053463,2754688,32711320,-143490,47888562,0,0,0,47745072,"0403990","4567","Pinal County","SAN TAN VLY"
"204","AZ","Scottsdale Unified School District No. 48","30564",2021,638068772,370809828,22637945,27325005,0,0,204154920,0,885550,823032,8992145,3607536,48406468,701151,217376563,4181074,265910644,0,0,0,270091718,"0407570","22410","Maricopa County","SCOTTSDALE"
"205","AZ","Sedona-Oak Creek Joint Unified School District No. 9","44600",2021,36173498,27563772,165407,1356839,0,0,6972192,0,0,0,115288,488258,1411314,18973,13057131,2912074,12063602,0,0,0,14975676,"0409733","790","Coconino County","SEDONA"
"206","AZ","Crane Elementary School District No. 13","30610",2021,60010410,9795578,2560365,3898870,0,0,42273244,0,0,0,1482353,138533,16123012,1458808,41627267,8305711,51041909,0,0,0,59347620,"0402400","6295","Yuma County","YUMA"
"207","AZ","Tempe Union High School District No. 213","30567",2021,212393564,84367555,5632158,0,0,0,119099033,0,523730,490939,2771088,2323325,27088121,275779,115694801,3983166,141398860,0,0,0,145382026,"0408340","13174","Maricopa County","TEMPE"
"208","AZ","Willcox Unified School District No. 13","30524",2021,18461978,7659742,1105777,683739,0,0,8772417,0,0,0,240303,542199,2981485,32195,9152226,942046,11766059,0,0,0,12708105,"0409250","1064","Cochise County","WILLCOX"
"209","AZ","Coolidge Unified School District No. 21","30601",2021,39626112,17126778,809847,1747968,0,0,19248031,0,0,0,693488,402981,6010067,421999,18569993,-321524,25726564,0,0,0,25405040,"0402320","2287","Pinal County","COOLIDGE"
