"","ncesID","nces_original_name","county_name","city","state","students","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","liability_per_student","netpension_per_student","netOPEB_per_student","expenses_per_student","revenues_per_student","liability_rev_ratio"
"36","4218990","Philadelphia City SD","Philadelphia County","Philadelphia","PA",130617,"87525",2021,8343807884,3790600000,186300000,3945983515,4010160109,63879.9534823185,29020.7247142409,1426.30744849445,30210.3364416577,30701.6706018359,2.08066702007084
"37","1200480","DUVAL","Duval County","JACKSONVILLE","FL",130279,"165645",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1200480","DUVAL","Duval County","JACKSONVILLE","FL",130279,"165645",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4816110","CYPRESS-FAIRBANKS ISD","Harris County","HOUSTON","TX",117446,"38984",2020,4145823676,354920841,416699640,1433416147,1382684090,35299.8286531683,3021.99173237062,3548.01048992729,12204.8954157655,11772.9347104201,2.9983882117281
"40","4816110","CYPRESS-FAIRBANKS ISD","Harris County","HOUSTON","TX",117446,"38984",2021,4426517127,348098746,327842108,1487393613,1418839448,37689.8074604499,2963.90465405378,2791.42846925395,12664.4893227526,12080.78136335,3.11981537674303
"41","2400120","Baltimore County Public Schools","Baltimore County","Towson","MD",115038,"171323",2020,2428010000,137969000,2045949000,2125318000,1955757000,21106.1562266382,1199.33413306907,17784.984092213,18474.921330343,17000.9648985553,1.24146813740153
"42","2400120","Baltimore County Public Schools","Baltimore County","Towson","MD",115038,"171323",2021,2788047000,116025000,2420620000,2163344000,1948422000,24235.8785792521,1008.57977364001,21041.9165840853,18805.4729741477,16937.2033588901,1.43092564136517
"43","4700148","Shelby County","Shelby County","Memphis","TN",113198,"87787",2020,958891499,181063,879359591,1162335680,1336828018,8470.92262230781,1.59952472658528,7768.33151645789,10268.1644552024,11809.64343893,0.717288601143008
"44","4700148","Shelby County","Shelby County","Memphis","TN",113198,"87787",2021,1224370835,27221,1130535591,1332786133,1375925703,10816.1878743441,0.240472446509656,9987.23997773812,11773.9371101963,12155.0354511564,0.889852433405701
"45","1301290","Cobb County","Cobb County","Marietta","GA",112097,"70971",2020,2217236000,1158513000,755723000,1465479000,1517922000,19779.6194367378,10334.9152965735,6741.6880023551,13073.3115069984,13541.1473991275,1.46070483200059
"46","1301290","Cobb County","Cobb County","Marietta","GA",112097,"70971",2021,2554459000,1350882000,909504000,1531381000,1586245000,22787.9336645941,12051.0093936501,8113.54451947867,13661.2130565492,14150.6463152448,1.61038112019266
"47","4833120","NORTHSIDE ISD","Bexar County","SAN ANTONIO","TX",107817,"38820",2020,3032820362,330423641,386107674,1297554866,1322943080,28129.3336115826,3064.67107227988,3581.13909680292,12034.7891890889,12270.2642440431,2.29247985635179
"48","4833120","NORTHSIDE ISD","Bexar County","SAN ANTONIO","TX",107817,"38820",2021,3133192193,304096292,298608482,1279234386,1314426478,29060.2798538264,2820.48556350112,2769.58626190675,11864.8671916303,12191.2729717948,2.3836952811293
"49","1201590","POLK","Polk County","BARTOW","FL",102952,"98989",2020,1056455681,501853478,33902309,1118958295,1149637602,10261.6333922605,4874.63553889191,329.302092237159,10868.7378098531,11166.7340313933,0.918946700388111
"50","1201590","POLK","Polk County","BARTOW","FL",102952,"98989",2021,1155033120,584171515,35381443,1158981177,1162151131,11219.1421244852,5674.21239995338,343.669311912347,11257.4906461264,11288.2812475717,0.993875141700482
