"","state","name.x","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","ncesID","name.y","nces_original_name","county_name","city","students"
"105","TX","Fort Worth Independent School District","39194",2022,2010367300,137291685,266947488,1023582315,1184225922,"4819700","Fort Worth Independent School District","FORT WORTH ISD","Tarrant County","FORT WORTH",82891
"106","TX","Austin Independent School District","39211",2020,2497995416,118517031,302775488,1672957566,1757890245,"4808940","Austin Independent School District","AUSTIN ISD","Travis County","AUSTIN",80911
"107","TX","Austin Independent School District","39211",2021,2833156660,246709201,256544236,1800313940,1775213465,"4808940","Austin Independent School District","AUSTIN ISD","Travis County","AUSTIN",80911
"108","TX","Austin Independent School District","39211",2022,2497215287,118923950,261315475,1806248529,1904957717,"4808940","Austin Independent School District","AUSTIN ISD","Travis County","AUSTIN",80911
"109","MD","Baltimore City Public School System","44313",2020,426185000,0,0,1446826000,1711671000,"2400090","Baltimore City Public School System","Baltimore City Public Schools","Baltimore city","Baltimore",79187
"110","MD","Baltimore City Public School System","44313",2021,441281000,0,0,1512821000,1672835000,"2400090","Baltimore City Public School System","Baltimore City Public Schools","Baltimore city","Baltimore",79187
"111","MD","Baltimore City Public School System","44313",2022,496357000,0,0,1642729000,1937428000,"2400090","Baltimore City Public School System","Baltimore City Public Schools","Baltimore city","Baltimore",79187
"112","TX","Fort Bend Independent School District","38940",2020,1939809685,206732032,270110960,1063607180,971061938,"4819650","Fort Bend Independent School District","FORT BEND ISD","Fort Bend County","SUGAR LAND",77756
"113","TX","Fort Bend Independent School District","38940",2021,2213317639,220611616,221244800,1060930559,959226672,"4819650","Fort Bend Independent School District","FORT BEND ISD","Fort Bend County","SUGAR LAND",77756
"114","TX","Fort Bend Independent School District","38940",2022,2238763485,114694828,226752430,979717663,983531628,"4819650","Fort Bend Independent School District","FORT BEND ISD","Fort Bend County","SUGAR LAND",77756
"115","SC","The School District of Greenville County","38341",2020,2523154282,895763981,760663343,940707649,954914212,"4502310","The School District of Greenville County","Greenville 01","Greenville County","Greenville",77302
"116","SC","The School District of Greenville County","38341",2021,2736790589,1014813176,919301322,997471803,1043035976,"4502310","The School District of Greenville County","Greenville 01","Greenville County","Greenville",77302
"117","SC","The School District of Greenville County","38341",2022,2631862828,860615385,1065211698,1060578074,1147588388,"4502310","The School District of Greenville County","Greenville 01","Greenville County","Greenville",77302
"118","FL","Pasco County District School Board","148148",2020,1220077040,397711685,98611974,801681147,823883566,"1201530","Pasco County District School Board","PASCO","Pasco County","LAND O LAKES",76661
"119","FL","Pasco County District School Board","148148",2021,1274076351,475673705,106858334,902757945,895626256,"1201530","Pasco County District School Board","PASCO","Pasco County","LAND O LAKES",76661
"120","FL","Pasco County District School Board","148148",2022,1069763344,204212328,112148615,845070031,999482073,"1201530","Pasco County District School Board","PASCO","Pasco County","LAND O LAKES",76661
"121","UT","Davis School District","39313",2020,889548468,181144594,0,694223529,728477766,"4900210","Davis School District","Davis District","Davis County","FARMINGTON",74773
"122","UT","Davis School District","39313",2021,0,0,0,0,0,"4900210","Davis School District","Davis District","Davis County","FARMINGTON",74773
"123","UT","Davis School District","39313",2022,612899141,0,0,674110332,819673603,"4900210","Davis School District","Davis District","Davis County","FARMINGTON",74773
"124","WI","Milwaukee Public Schools","40012",2020,1413229033,187257004,762277112,1268266817,1208173119,"5509600","Milwaukee Public Schools","Milwaukee School District","Milwaukee County","Milwaukee",74683
"125","WI","Milwaukee Public Schools","40012",2021,1282936553,161786883,631694509,1115965278,1304106715,"5509600","Milwaukee Public Schools","Milwaukee School District","Milwaukee County","Milwaukee",74683
"126","WI","Milwaukee Public Schools","40012",2022,1129331858,109186165,579869520,1223409371,1460927025,"5509600","Milwaukee Public Schools","Milwaukee School District","Milwaukee County","Milwaukee",74683
"127","FL","Brevard District School Board County","93779",2020,970289235,393361434,17244106,809117325,802974791,"1200150","Brevard District School Board County","BREVARD","Brevard County","VIERA",73962
"128","FL","Brevard District School Board County","93779",2021,1020726984,475178596,17121999,838044420,851618092,"1200150","Brevard District School Board County","BREVARD","Brevard County","VIERA",73962
"129","FL","Brevard District School Board County","93779",2022,716195226,192510509,17479901,820790396,915719479,"1200150","Brevard District School Board County","BREVARD","Brevard County","VIERA",73962
"130","NC","Guilford County Board of Education","36571",2020,1173118351,301635944,804006602,822101070,796869443,"3701920","Guilford County Board of Education","Guilford County Schools","Guilford County","Greensboro",72682
"131","NC","Guilford County Board of Education","36571",2021,1108660665,344503647,691599796,825832880,833573949,"3701920","Guilford County Board of Education","Guilford County Schools","Guilford County","Greensboro",72682
"132","NC","Guilford County Board of Education","36571",2022,970820060,130946596,750028289,871860532,984389389,"3701920","Guilford County Board of Education","Guilford County Schools","Guilford County","Greensboro",72682
"133","CA","Long Beach Unified School District","146325",2020,3148525800,922386344,425718817,1123576999,1136009100,"0622500","Long Beach Unified School District","Long Beach Unified","Los Angeles County","Long Beach",71712
"134","CA","Long Beach Unified School District","146325",2021,3149319980,962921099,451231966,1133568444,1268432361,"0622500","Long Beach Unified School District","Long Beach Unified","Los Angeles County","Long Beach",71712
"135","CA","Long Beach Unified School District","146325",2022,2597539043,480681147,401299005,1114588767,1281497291,"0622500","Long Beach Unified School District","Long Beach Unified","Los Angeles County","Long Beach",71712
"136","CA","Fresno Unified School District","146154",2020,3034261964,942203000,1019190619,1233813509,1166709424,"0614550","Fresno Unified School District","Fresno Unified","Fresno County","Fresno",71265
"137","CA","Fresno Unified School District","146154",2021,3379492852,993525000,1050247712,1271463860,1280455084,"0614550","Fresno Unified School District","Fresno Unified","Fresno County","Fresno",71265
