"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"5708","TX","Matagorda Independent School District",NA,163776,2021,"School District",5170604,4222012,81063,0,0,0,426851,0,440678,0,0,4274,359321,0,3415131,91879,3686847,0,0,0,3778726,FALSE
"5709","TX","Miles Independent School District",NA,163794,2021,"School District",10460898,7048173,327139,0,0,0,1373390,0,1712196,0,0,246506,801366,0,6552401,896320,6703953,0,0,0,7600273,FALSE
"5710","TX","Mathis Independent School District",NA,39169,2021,"School District",41017350,23790106,3732805,0,153719,2161685,5407812,0,5771223,0,0,182169,7477294,0,20442833,3610890,24491406,0,0,0,28102296,FALSE
"5711","TX","Miller Grove Independent School District",NA,163796,2021,"School District",6820857,3209231,664272,0,0,1177918,675169,0,1094267,0,0,38972,708440,0,4484082,704406,4527088,0,0,0,5231494,FALSE
"5712","TX","Midlothian Independent School District",NA,38919,2021,"School District",549005991,482111896,21920022,0,0,0,22239581,0,22734492,0,0,3790093,13181130,0,121794586,-2351653,141117462,0,0,0,138765809,FALSE
"5713","TX","Marble Falls Independent School District",NA,38848,2021,"School District",145297631,109669365,10477914,32091,0,0,11680815,0,13437446,0,0,546911,9696729,0,57820140,175557,67888223,0,0,0,68063780,FALSE
"5714","TX","Milford Independent School District",NA,163795,2021,"School District",1673416,0,148300,0,0,0,713331,0,811785,0,0,34478,562682,0,3269995,-17627,3884782,0,0,0,3867155,FALSE
"5715","TX","Millsap Independent School District",NA,163797,2021,"School District",24477323,17797123,936803,0,0,0,2625854,0,3039531,0,78011,253870,1863179,0,13780604,1117364,14780289,0,0,0,15897653,FALSE
"5716","TX","Marfa Independent School District",NA,163772,2021,"School District",7674840,5134984,362452,0,0,0,945397,0,1232007,0,0,46044,729643,0,4961541,98046,5639182,0,0,0,5737228,FALSE
"5717","TX","Midway Independent School District",NA,39083,2021,"School District",282081817,226131616,16054961,0,0,0,18534696,0,21360544,0,0,1454308,16212477,0,86611945,5003611,99275119,0,0,0,104278730,FALSE
"5718","TX","Mineola Independent School District",NA,39259,2021,"School District",12537613,0,1431666,0,0,240491,5146398,0,5719058,0,0,2215627,4895598,0,16718794,462466,23367553,0,0,0,23830019,FALSE
"5719","TX","Mineral Wells Independent School District",NA,39132,2021,"School District",72519443,48870693,2255106,57987,0,291854,10531754,0,10507147,0,4902,952598,8861925,0,34532754,-1420251,45767528,0,0,0,44347277,FALSE
"5720","TX","Maud Independent School District",NA,163777,2021,"School District",5347962,522000,407252,0,53487,1046891,1503663,0,1790519,0,24150,77805,958114,0,6144668,229858,6950729,0,0,0,7180587,FALSE
"5721","TX","Mexia Independent School District",NA,39076,2021,"School District",27120461,13748000,1383661,0,0,26847,5447014,0,6514939,0,0,120039,5792179,0,21629691,2766872,24775037,0,0,0,27541909,FALSE
"5722","TX","Lueders-Avoca Independent School District",NA,163737,2021,"School District",2051756,872850,264883,0,0,0,407926,0,506097,0,0,5571,440809,0,2302915,214014,2535281,0,0,0,2749295,FALSE
"5723","TX","Motley County Independent School District",NA,164052,2021,"School District",1851458,0,349636,0,0,0,726247,0,775575,0,0,36937,961620,0,2436029,-162009,3596595,0,0,0,3434586,FALSE
"5724","TX","Mount Vernon Independent School District",NA,56656,2021,"School District",30401768,20715904,1200969,27323,0,0,3861989,0,4595583,0,0,266783,3528572,0,17347864,1772111,19371108,0,0,0,21143219,FALSE
"5725","TX","Moulton Independent School District",NA,163806,2021,"School District",16912975,13124029,1969303,0,0,0,733178,0,1086465,0,0,19300,518610,0,5453036,504355,5486591,0,0,0,5990946,FALSE
"5726","TX","Mullin Independent School District",NA,163810,2021,"School District",4310239,0,1008079,99393,0,0,1592800,0,1609967,0,0,8044,1436960,0,3891832,-336913,5673749,0,0,0,5336836,FALSE
"5727","TX","Muleshoe Independent School District",NA,38801,2021,"School District",24643602,14706287,2092643,0,0,0,3709273,0,4135399,0,0,93701,4391838,0,16527258,215280,20797517,0,0,0,21012797,FALSE
"5728","TX","Onalaska Independent School District",NA,39142,2021,"School District",20749314,11928058,1002445,0,0,450624,3475208,0,3892979,0,0,227212,2966073,0,14196221,2330277,15059229,0,0,0,17389506,FALSE
