"","ncesID","nces_original_name","county_name","city","state","students"
"1609","4626490","Gayville-Volin School District 63-1","Yankton County","Gayville","SD",322
"1610","2718270","LITTLEFORK-BIG FALLS SCHOOL DIST.","Koochiching County","LITTLEFORK","MN",322
"1611","2004230","Central","Cowley County","Burden","KS",321
"1612","3622100","GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT","Chenango County","SOUTH OTSELIC","NY",321
"1613","3613560","HANCOCK CENTRAL SCHOOL DISTRICT","Delaware County","HANCOCK","NY",321
"1614","2010950","Quinter Public Schools","Gove County","Quinter","KS",321
"1615","0806840","Swink School District No. 33 in the county of Otero and St","Otero County","SWINK","CO",321
"1616","3631590","WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT","Greene County","WINDHAM","NY",321
"1617","2308250","Milford Public Schools","Penobscot County","Milford","ME",320
"1618","5509720","Northwood School District","Washburn County","Minong","WI",319
"1619","1601200","GENESEE JOINT DISTRICT","Latah County","GENESEE","ID",318
"1620","4630490","Haakon School District 27-1","Haakon County","Philip","SD",318
"1621","3615870","JOHNSBURG CENTRAL SCHOOL DISTRICT","Warren County","NORTH CREEK","NY",318
"1622","3608610","CROWN POINT CENTRAL SCHOOL DISTRICT","Essex County","CROWN POINT","NY",317
"1623","1601380","HAGERMAN JOINT DISTRICT","Gooding County","HAGERMAN","ID",317
"1624","3612120","GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT","Schoharie County","GILBOA","NY",316
"1625","4611280","Castlewood School District 28-1","Hamlin County","Castlewood","SD",315
"1626","2910020","COMMUNITY R-VI","Audrain County","LADDONIA","MO",315
"1627","5504350","Elmwood School District","Pierce County","Elmwood","WI",315
"1628","2713930","HERON LAKE-OKABENA SCHOOL DISTRICT","Jackson County","OKABENA","MN",315
"1629","1800024","Indiana School For The Deaf","Marion County","Indianapolis","IN",315
"1630","4680439","Irene - Wakonda School District 13-3","Turner County","Irene","SD",315
"1631","0405430","Naco Elementary District (4176)","Cochise County","NACO","AZ",315
"1632","3623340","POCANTICO HILLS CENTRAL SCHOOL DISTRICT","Westchester County","SLEEPY HOLLOW","NY",315
"1633","3619710","MONTAUK UNION FREE SCHOOL DISTRICT","Suffolk County","MONTAUK","NY",314
"1634","3002030","Anaconda H S","Deer Lodge County","Anaconda","MT",313
"1635","5008246","Bellows Falls UHSD #27","Windham County","Bellows Falls","VT",313
"1636","2008310","Fairfield","Reno County","Langdon","KS",312
"1637","3616800","LAURENS CENTRAL SCHOOL DISTRICT","Otsego County","LAURENS","NY",312
"1638","2915270","PETTIS CO. R-V","Pettis County","HUGHESVILLE","MO",312
"1639","4676020","Warner School District 06-5","Brown County","Warner","SD",312
"1640","5505280","Gilman School District","Taylor County","Gilman","WI",311
"1641","4221270","Shanksville-Stonycreek SD","Somerset County","Shanksville","PA",311
"1642","5507680","Lake Holcombe School District","Chippewa County","Holcombe","WI",310
"1643","2700150","CLINTON-GRACEVILLE-BEARDSLEY","Big Stone County","CLINTON","MN",309
"1644","5505880","Green Lake School District","Green Lake County","Green Lake","WI",309
"1645","3618990","MENANDS UNION FREE SCHOOL DISTRICT","Albany County","MENANDS","NY",309
"1646","5510440","New Auburn School District","Barron County","New Auburn","WI",309
"1647","0806630","Springfield School District No. Re-4","Baca County","SPRINGFIELD","CO",309
"1648","3027810","Whitehall Elem","Jefferson County","Whitehall","MT",309
"1649","1725190","Mazon-Verona-Kinsman ESD 2C","Grundy County","Mazon","IL",308
"1650","2314838","RSU 89","Penobscot County","Stacyville","ME",307
"1651","2929340","STANBERRY R-II","Gentry County","STANBERRY","MO",307
"1652","3800390","NORTH STAR 10","Towner County","Cando","ND",306
"1653","2903000","SANTA FE R-X","Lafayette County","ALMA","MO",306
"1654","1700100","University of Ill Lab School","Champaign County","Urbana","IL",306
"1655","0601422","California Education Authority (CEA) Headquarters","Sacramento County","Elk Grove","CA",305
