"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"922","CA","Shasta Union Elementary School District",NA,146646,2020,"School District",1828725,0,172979,0,0,300000,1352564,0,0,8450,3182,222307,267105,0,1331382,7616,1813178,0,0,0,1820794,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","CA","Weed Union Elementary School District",NA,146766,2020,"School District",5586932,0,211583,67025,0,0,3468768,0,1824581,0,14975,134397,630157,0,3445582,248831,3961305,0,0,0,4210136,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924","CA","Willows Unified School District",NA,146789,2020,"School District",35461294,10776706,1874814,0,0,0,15377118,0,7337466,0,95190,43217,1066321,0,17775293,-815819,19700650,0,0,0,18884831,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","VA","School Board of the City of Virginia Beach",NA,197671,2020,"School District",985168847,0,98566284,0,0,0,678825000,0,152746000,0,38968412,11422284,173532323,0,800771594,51237400,934488801,0,0,0,985726201,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926","AR","Fountain Lake School District No. 18",NA,98689,2020,"School District",213874,11835000,213874,0,0,0,10821651,0,0,0,0,0,0,0,36281011,-313527,36594538,0,0,0,36281011,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927","WI","Green Bay Area Public School District",NA,197692,2020,"School District",139054995,50413347,15179510,0,0,2720000,30948836,31235398,29142884,0,10650418,6145459,50861065,0,272912195,24825632,305093087,0,0,0,329918719,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","CA","Delphic Elementary School District",NA,146071,2020,"School District",585658,0,16915,0,0,0,568743,0,0,0,0,69110,111440,0,747627,103258,824919,0,0,0,928177,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","CA","Gazelle Union Elementary School District",NA,146164,2020,"School District",432279,0,25815,0,0,0,406464,0,0,0,0,45777,41434,0,479961,16540,550632,0,0,0,567172,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930","CA","Forks of Salmon Elementary School District",NA,146141,2020,"School District",151461,0,6358,0,0,0,140920,0,0,0,4183,0,39439,0,236657,71612,204484,0,0,0,276096,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931","CA","Grenada Elementary School District",NA,146187,2020,"School District",2185417,0,23974,0,0,0,2161443,0,0,0,0,116552,407112,0,2276851,-39375,2839890,0,0,0,2800515,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
