"","state","name","census_id","id","ncesID","is_city","is_county","is_intergovernmental","is_special_district","is_state","is_tribal","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","component_unit_of_id"
"414","NY","Whitehall Central School District",NA,36456,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",42740293,830000,41776,0,0,13640097,880152,0,26205931,0,568072,27569,921371,0,18348788,1593964,17703764,0,0,0,19297728,FALSE,NA
"415","NY","York Central School District",NA,225563,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,NA
"416","NY","Waterford-Halfmoon Union Free School District",NA,225546,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",29268015,9709791,1131234,0,0,0,1135991,0,16830219,0,460780,140101,701519,1705,20253514,1859746,19237093,0,0,0,21096839,FALSE,NA
"417","OH","Bloom Vernon Local School District",NA,197121,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,NA
"418","NY","Tully Central School District",NA,225529,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",41340574,10335000,1472564,2104900,0,0,1133756,0,25876388,0,417966,156452,826529,0,21288720,226847,22044854,0,0,0,22271701,FALSE,NA
"419","NY","Valley Stream Union Free School District No. 13",NA,168239,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",93595391,31617750,5760514,6446491,0,0,3874885,0,42465971,0,2744271,197906,1356747,65830,51470237,-2299190,55389910,0,0,0,53090720,FALSE,NA
"420","NY","Worcester Central School District",NA,225561,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",39615734,16315000,364836,0,0,0,433021,0,22342743,0,160134,30356,819004,0,10885708,-284503,12019571,0,0,0,11735068,FALSE,NA
"421","NY","Union Springs Central School District",NA,1239134,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",38982886,7275000,1288904,0,0,10970000,1153923,0,18141118,0,153941,129993,1282341,42759,18699580,449907,19704766,0,0,0,20154673,FALSE,NA
"422","OH","Belmont-Harrison Vocational School District",NA,82567,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",10561712,430201,705595,0,0,0,8448533,0,481678,505502,495705,255661,1279645,0,7585227,465269,8655264,0,0,0,9120533,FALSE,NA
"423","OH","Botkins Local School District",NA,82620,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,2034611,815137,35804,5479941,-327922,8693415,0,0,0,8365493,FALSE,NA
"424","OH","Antwerp Local School District",NA,82464,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,350000,0,0,0,0,8405668,0,501087,503466,0,867034,1181430,0,8351800,470828,9929436,0,0,0,10400264,FALSE,NA
"425","OH","Cedar Cliff Local School District",NA,82728,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",21715059,11433809,834873,0,0,0,8396465,0,750845,450311,299067,856944,1320605,0,7824240,437183,9564606,0,0,0,10001789,FALSE,NA
"426","OH","Covington Exempted Village School District",NA,82934,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,9788486,0,0,0,0,11190006,0,902624,620159,0,1227153,1833889,26500,10211374,888203,12410713,0,0,0,13298916,FALSE,NA
"427","OH","Holgate Local School District",NA,83339,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",11050885,925000,719914,726906,1253000,0,6653495,0,442122,389542,330448,591986,1119942,0,6039435,-633315,8384678,0,0,0,7751363,FALSE,NA
"428","OH","Jennings Local School District",NA,83428,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,26118,0,0,4654853,0,337483,266525,0,0,2751621,0,2316660,196459,4871822,0,0,0,5068281,FALSE,NA
"429","OH","Minster Local School District",NA,83796,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,11335000,0,29804,0,0,11080966,0,622085,672668,0,587368,1113421,0,11326223,574112,12452900,0,0,0,13027012,FALSE,NA
"430","OH","Newton Local School District",NA,83921,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,4495242,0,0,0,0,8091066,0,606324,457485,0,1163181,996753,535,7182029,590652,8751846,0,0,0,9342498,FALSE,NA
"431","OH","Mississinawa Valley Local School District",NA,83797,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,290000,0,0,0,0,9133705,0,773505,499356,0,856680,1831252,0,8125532,309325,10504139,0,0,0,10813464,FALSE,NA
"432","OH","Maplewood Career Center",NA,83659,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",16732787,0,1815924,0,0,0,12536266,0,897534,703866,1483063,666347,1813959,0,11458576,-1316400,15255282,0,0,0,13938882,FALSE,NA
"433","OH","Waynesfield-Goshen Local School District",NA,84720,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,1928933,0,0,0,0,7266892,0,671780,384665,0,732588,996590,0,8680713,-403357,10813248,0,0,0,10409891,FALSE,NA
