"","id","state","name","ncesID","nces_original_name","students"
"4772","36253","NY","Bellmore-Merrick Central High School District","3619020","BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT","5328"
"4773","36096","NY","Bethlehem Central School District","3604710","BETHLEHEM CENTRAL SCHOOL DISTRICT","4368"
"4774","36275","NY","Bethpage Union Free School District","3604740","BETHPAGE UNION FREE SCHOOL DISTRICT","2966"
"4775","36110","NY","Binghamton City School District","3604870","BINGHAMTON CITY SCHOOL DISTRICT","5299"
"4776","1240646","NY","Board of Education City of Buffalo","3605850","BUFFALO CITY SCHOOL DISTRICT","33299"
"4777","36105","NY","Bolivar-Richburg Central School District","3600012","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","774"
"4778","36366","NY","Brasher Falls Central School District","3627960","BRASHER FALLS CENTRAL SCHOOL DISTRICT","1012"
"4779","36413","NY","Brentwood Union Free School District","3605280","BRENTWOOD UNION FREE SCHOOL DISTRICT","19283"
"4780","82202","NY","Brewster Central School District","3605310","BREWSTER CENTRAL SCHOOL DISTRICT","3116"
"4781","48507","NY","Brighton Central School District","3605460","BRIGHTON CENTRAL SCHOOL DISTRICT","3569"
"4782","36195","NY","Broadalbin-Perth Central School District","3600005","BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT","1820"
"4783","36238","NY","Brockport Central School District","3605580","BROCKPORT CENTRAL SCHOOL DISTRICT","3374"
"4784","64979","NY","Brocton Central School District","3605610","BROCTON CENTRAL SCHOOL DISTRICT","581"
"4785","36405","NY","Brookhaven-Comsewogue Union Free School District","3615780","BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT","3718"
"4786","36352","NY","Brunswick Central School District","3605520","BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL)","1187"
"4787","36193","NY","Brushton-Moira Central School District","3605820","BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT","804"
"4788","36371","NY","Burnt Hills-Ballston Lake Central School District","3605940","BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT","3112"
"4789","36201","NY","Byron-Bergen Central School District","3606090","BYRON-BERGEN CENTRAL SCHOOL DISTRICT","895"
"4790","36204","NY","Cairo-Durham Central School District","3606160","CAIRO-DURHAM CENTRAL SCHOOL DISTRICT","1213"
"4791","190558","NY","Cambridge Central School District","3606210","CAMBRIDGE CENTRAL SCHOOL DISTRICT","826"
"4792","36293","NY","Camden Central School District","3606240","CAMDEN CENTRAL SCHOOL DISTRICT","2109"
"4793","36390","NY","Campbell-Savona Central School District","3600020","CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT","848"
"4794","36243","NY","Canajoharie Central School District","3606300","CANAJOHARIE CENTRAL SCHOOL DISTRICT","898"
"4795","36314","NY","Canandaigua City School District","3606330","CANANDAIGUA CITY SCHOOL DISTRICT","3491"
"4796","36223","NY","Canastota Central School District","3606390","CANASTOTA CENTRAL SCHOOL DISTRICT","1321"
"4797","36434","NY","Candor Central School District","3606420","CANDOR CENTRAL SCHOOL DISTRICT","779"
"4798","36391","NY","Canisteo-Greenwood Central School District","3600124","CANISTEO-GREENWOOD CSD","980"
"4799","47603","NY","Canton Central School District","3606470","CANTON CENTRAL SCHOOL DISTRICT","1274"
"4800","36350","NY","Carmelcentral School District","3606570","CARMEL CENTRAL SCHOOL DISTRICT","4005"
