"","ncesID","nces_original_name","county_name","city","state","students"
"1861","1801410","Caston School Corporation","Fulton County","Fulton","IN",694
"1862","0607800","Castro Valley Unified","Alameda County","Castro Valley","CA",9321
"1863","3700660","Caswell County Schools","Caswell County","Yanceyville","NC",2398
"1864","2304110","Caswell Public Schools","Aroostook County","Caswell","ME",49
"1865","2200420","Catahoula Parish","Catahoula Parish","Harrisonburg","LA",1143
"1866","0401760","Catalina Foothills Unified District (4410)","Pima County","TUCSON","AZ",5508
"1867","3700421","Catamount School","Jackson County","Sylva","NC",59
"1868","4205160","Catasauqua Area SD","Lehigh County","Catasauqua","PA",1510
"1869","3700690","Catawba County Schools","Catawba County","Newton","NC",15942
"1870","5600009","Cathedral Home for Children - Administration Office","Albany County","Laramie","WY",7
"1871","3606690","CATO-MERIDIAN CENTRAL SCHOOL DISTRICT","Cayuga County","CATO","NY",944
"1872","4006870","CATOOSA","Rogers County","Catoosa","OK",1881
"1873","1300930","Catoosa County","Catoosa County","Ringgold","GA",10770
"1874","3606720","CATSKILL CENTRAL SCHOOL DISTRICT","Greene County","CATSKILL","NY",1429
"1875","3600024","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT","Cattaraugus County","CATTARAUGUS","NY",947
"1876","3800018","CAVALIER 6","Pembina County","Cavalier","ND",448
"1877","0504050","CAVE CITY SCHOOL DISTRICT","Sharp County","CAVE CITY","AR",1237
"1878","0400001","Cave Creek Unified District (4244)","Maricopa County","CAVE CREEK","AZ",5528
"1879","4006930","CAVE SPRINGS","Adair County","Bunch","OK",158
"1880","2101110","Caverna Independent","Barren County","Cave City","KY",704
"1881","0607840","Cayucos Elementary","San Luis Obispo County","Cayucos","CA",184
"1882","4813200","CAYUGA ISD","Anderson County","CAYUGA","TX",557
"1883","3005990","Cayuse Prairie Elem","Flathead County","Kalispell","MT",257
"1884","3606780","CAZENOVIA CENTRAL SCHOOL DISTRICT","Madison County","CAZENOVIA","NY",1366
"1885","1739030","CCSD 146","Cook County","Tinley Park","IL",2401
"1886","1735460","CCSD 168","Cook County","Sauk Village","IL",1301
"1887","1730510","CCSD 180","DuPage County","Burr Ridge","IL",547
"1888","1731560","CCSD 204","Perry County","Pinckneyville","IL",145
"1889","1712120","CCSD 62","Cook County","Des Plaines","IL",4448
"1890","1740500","CCSD 89","DuPage County","Glen Ellyn","IL",2304
"1891","1710470","CCSD 93","DuPage County","Bloomingdale","IL",3515
"1892","2400240","Cecil County Public Schools","Cecil County","Elkton","MD",15256
"1893","3104870","CEDAR BLUFFS PUBLIC SCHOOLS","Saunders County","CEDAR BLUFFS","NE",436
"1894","3904725","Cedar Cliff Local","Greene County","Cedarville","OH",618
"1895","1906510","Cedar Falls Comm School District","Black Hawk County","Cedar Falls","IA",5733
"1896","3402850","Cedar Grove Township School District","Essex County","CEDAR GROVE","NJ",1613
"1897","5502430","Cedar Grove-Belgium Area School District","Sheboygan County","Cedar Grove","WI",958
"1898","4813230","CEDAR HILL ISD","Dallas County","CEDAR HILL","TX",7625
"1899","2700110","CEDAR MOUNTAIN SCHOOL DISTRICT","Redwood County","MORGAN","MN",427
"1900","1906540","Cedar Rapids Comm School District","Linn County","Cedar Rapids","IA",16598
"1901","0500070","CEDAR RIDGE SCHOOL DISTRICT","Independence County","NEWARK","AR",699
"1902","2608520","Cedar Springs Public Schools","Kent County","CEDAR SPRINGS","MI",3597
"1903","0401810","Cedar Unified District (4395)","Navajo County","KEAMS CANYON","AZ",123
"1904","2004500","Cedar Vale","Chautauqua County","Cedar Vale","KS",132
"1905","5502460","Cedarburg School District","Ozaukee County","Cedarburg","WI",3167
"1906","0504080","CEDARVILLE SCHOOL DISTRICT","Crawford County","CEDARVILLE","AR",765
"1907","4813260","CELESTE ISD","Hunt County","CELESTE","TX",506
"1908","3910030","Celina City","Mercer County","Celina","OH",2966
"1909","4813290","CELINA ISD","Collin County","CELINA","TX",2831
"1910","4006960","CEMENT","Caddo County","Cement","OK",210
"1911","2708100","CENTENNIAL PUBLIC SCHOOL DISTRICT","Anoka County","CIRCLE PINES","MN",6840
"1912","3100099","CENTENNIAL PUBLIC SCHOOLS","Seward County","UTICA","NE",451
"1913","0806360","Centennial School District No. R-1","Costilla County","SAN LUIS","CO",219
"1914","4205190","Centennial SD","Bucks County","Warminster","PA",5471
"1915","4102800","Centennial SD 28J","Multnomah County","Portland","OR",6095
"1916","2908250","CENTER 58","Jackson County","KANSAS CITY","MO",2644
"1917","1708970","Center Cass SD 66","DuPage County","Downers Grove","IL",1084
"1918","0802850","Center Consolidated School District No. 26 Jt. of the count","Saguache County","CENTER","CO",606
"1919","1801440","Center Grove Community School Corp","Johnson County","Greenwood","IN",8876
"1920","4813320","CENTER ISD","Shelby County","CENTER","TX",2662
"1921","0607900","Center Joint Unified","Sacramento County","Antelope","CA",4258
"1922","2608580","Center Line Public Schools","Macomb County","Center Line","MI",2548
"1923","3606840","CENTER MORICHES UNION FREE SCHOOL DISTRICT","Suffolk County","CENTER MORICHES","NY",1503
"1924","4813350","CENTER POINT ISD","Kerr County","CENTER POINT","TX",591
"1925","1906660","Center Point-Urbana Comm School District","Linn County","Center Point","IA",1588
"1926","3800052","CENTER-STANTON 1","Oliver County","Center","ND",250
"1927","3904782","Centerburg Local","Knox County","Centerburg","OH",1080
"1928","0506690","CENTERPOINT SCHOOL DISTRICT","Pike County","AMITY","AR",1037
"1929","3904373","Centerville City","Montgomery County","Centerville","OH",8413
"1930","1906750","Centerville Comm School District","Appanoose County","Centerville","IA",1408
"1931","3025130","Centerville Elem","Cascade County","Sand Coulee","MT",240
"1932","3025140","Centerville H S","Cascade County","Sand Coulee","MT",66
"1933","4813380","CENTERVILLE ISD","Trinity County","GROVETON","TX",147
"1934","4813410","CENTERVILLE ISD","Leon County","CENTERVILLE","TX",665
"1935","2908340","CENTERVILLE R-I","Reynolds County","CENTERVILLE","MO",60
"1936","5301050","Centerville School District","Klickitat County","CENTERVILLE","WA",86
"1937","4611760","Centerville School District 60-1","Turner County","Centerville","SD",295
"1938","1801560","Centerville-Abington Com Schs","Wayne County","Centerville","IN",1797
"1939","0607920","Centinela Valley Union High","Los Angeles County","Lawndale","CA",6324
"1940","2004230","Central","Cowley County","Burden","KS",321
"1941","4007140","CENTRAL","Sequoyah County","Sallisaw","OK",497
"1942","1709100","Central A & M CUD 21","Christian County","Assumption","IL",720
"1943","2503390","Central Berkshire","Berkshire County","Dalton","MA",1565
"1944","4205310","Central Bucks SD","Bucks County","Doylestown","PA",18104
"1945","4205340","Central Cambria SD","Cambria County","Ebensburg","PA",1577
"1946","3804090","CENTRAL CASS 17","Cass County","Casselton","ND",958
"1947","1704770","Central CHSD 71","Clinton County","Breese","IL",619
"1948","1906780","Central City Comm School District","Linn County","Central City","IA",476
"1949","3104920","CENTRAL CITY PUBLIC SCHOOLS","Merrick County","CENTRAL CITY","NE",767
"1950","1709180","Central City SD 133","Marion County","Centralia","IL",370
"1951","4205370","Central Columbia SD","Columbia County","Bloomsburg","PA",1912
"1952","1906840","Central Comm School District","Clayton County","Elkader","IA",431
"1953","2200125","Central Community School District","East Baton Rouge Parish","Baton Rouge","LA",4793
"1954","3500390","CENTRAL CONSOLIDATED SCHOOLS","San Juan County","SHIPROCK","NM",5635
"1955","4105760","Central Curry SD 1","Curry County","Gold Beach","OR",483
"1956","1708220","Central CUSD 3","Adams County","Camp Point","IL",851
"1957","1707830","Central CUSD 301","Kane County","Burlington","IL",4413
"1958","1710410","Central CUSD 4","Iroquois County","Ashkum","IL",1006
"1959","4205400","Central Dauphin SD","Dauphin County","Harrisburg","PA",12214
"1960","1906900","Central Decatur Comm School District","Decatur County","Leon","IA",705
"1961","1906810","Central DeWitt School District","Clinton County","De Witt","IA",1646
"1962","0607950","Central Elementary","San Bernardino County","Rancho Cucamonga","CA",4449
"1963","4400120","Central Falls","Providence County","Central Falls","RI",2878
"1964","4214850","Central Fulton SD","Fulton County","McConnellsburg","PA",1009
"1965","4205430","Central Greene SD","Greene County","Waynesburg","PA",1632
"1966","2000014","Central Heights","Franklin County","Richmond","KS",516
"1967","4813440","CENTRAL HEIGHTS ISD","Nacogdoches County","NACOGDOCHES","TX",1176
"1968","4007170","CENTRAL HIGH","Stephens County","Marlow","OK",409
"1969","4813500","CENTRAL ISD","Angelina County","POLLOK","TX",1469
"1970","3606870","CENTRAL ISLIP UNION FREE SCHOOL DISTRICT","Suffolk County","CENTRAL ISLIP","NY",7904
"1971","5301080","Central Kitsap School District","Kitsap County","SILVERDALE","WA",11869
"1972","2608610","Central Lake Public Schools","Antrim County","Central Lake","MI",277
"1973","1906930","Central Lee Comm School District","Lee County","Donnellson","IA",1180
"1974","4102910","Central Linn SD 552","Linn County","Halsey","OR",642
"1975","3904671","Central Local","Defiance County","Sherwood","OH",946
"1976","1906960","Central Lyon Comm School District","Lyon County","Rock Rapids","IA",789
"1977","2700143","CENTRAL MINNESOTA JT. POWERS DIST.","Stearns County","WAITE PARK","MN",7
"1978","2608640","Central Montcalm Public Schools","Montcalm County","Stanton","MI",1466
"1979","1801710","Central Noble Com School Corp","Noble County","Albion","IN",1268
"1980","2000349","Central Plains","Ellsworth County","Holyrood","KS",496
"1981","4102940","Central Point SD 6","Jackson County","Central Point","OR",4863
"1982","2723910","CENTRAL PUBLIC SCHOOL DISTRICT","Carver County","NORWOOD YOUNG AMERICA","MN",979
"1983","2929170","CENTRAL R-III","St. Francois County","PARK HILLS","MO",2172
"1984","3402910","Central Regional School District","Ocean County","Bayville","NJ",2377
"1985","1709170","Central SD 104","St. Clair County","O Fallon","IL",598
"1986","4102840","Central SD 13J","Polk County","Independence","OR",3320
"1987","1709150","Central SD 51","Tazewell County","Washington","IL",1425
"1988","1920760","Central Springs Comm School District","Worth County","Manly","IA",784
"1989","3606900","CENTRAL SQUARE CENTRAL SCHOOL DISTRICT","Oswego County","CENTRAL SQUARE","NY",3763
"1990","1737860","Central Stickney SD 110","Cook County","Chicago","IL",370
"1991","0607970","Central Unified","Fresno County","Fresno","CA",15841
"1992","0607980","Central Union Elementary","Kings County","Lemoore","CA",1875
"1993","0608010","Central Union High","Imperial County","El Centro","CA",4162
"1994","3804140","CENTRAL VALLEY 3","Traill County","Buxton","ND",203
"1995","3601087","CENTRAL VALLEY CSD AT ILION-MOHAWK","Herkimer County","ILION","NY",2304
"1996","3100185","CENTRAL VALLEY PUBLIC SCHOOLS","Greeley County","GREELEY","NE",309
"1997","5301110","Central Valley School District","Spokane County","Spokane Valley","WA",14783
"1998","4200824","Central Valley SD","Beaver County","Monaca","PA",2314
"1999","4205490","Central York SD","York County","York","PA",5746
"2000","5513290","Central/Westosha UHS School District","Kenosha County","Salem","WI",1098
"2001","0608070","Centralia Elementary","Orange County","Buena Park","CA",4218
"2002","1709300","Centralia HSD 200","Marion County","Centralia","IL",874
"2003","2908400","CENTRALIA R-VI","Boone County","CENTRALIA","MO",1381
"2004","5301140","Centralia School District","Lewis County","CENTRALIA","WA",3638
"2005","1709270","Centralia SD 135","Marion County","Centralia","IL",1234
"2006","2008940","Centre","Marion County","Lost Springs","KS",496
"2007","2608670","Centreville Public Schools","St. Joseph County","Centreville","MI",839
"2008","3162950","CENTURA PUBLIC SCHOOLS","Howard County","CAIRO","NE",493
"2009","1739630","Century CUSD 100","Pulaski County","Ullin","IL",371
"2010","0608130","Ceres Unified","Stanislaus County","Ceres","CA",14522
"2011","1709330","Cerro Gordo CUSD 100","Piatt County","Cerro Gordo","IL",467
"2012","5900048","Ch'ooshgai Community School","McKinley County","Tohatchi","NM",283
"2013","3104980","CHADRON PUBLIC SCHOOLS","Dawes County","CHADRON","NE",976
"2014","2908430","CHADWICK R-I","Christian County","CHADWICK","MO",244
"2015","1709400","Chadwick-Milledgeville CUSD 399","Carroll County","MILLEDGEVILLE","IL",436
"2016","2908460","CHAFFEE R-II","Scott County","CHAFFEE","MO",672
"2017","0608160","Chaffey Joint Union High","San Bernardino County","Ontario","CA",23724
"2018","3904528","Chagrin Falls Exempted Village","Cuyahoga County","Chagrin Falls","OH",1844
"2019","1600720","CHALLIS JOINT DISTRICT","Custer County","CHALLIS","ID",322
"2020","3500420","CHAMA VALLEY INDEP. SCHOOLS","Rio Arriba County","TIERRA AMARILLA","NM",425
"2021","4612000","Chamberlain School District 07-1","Brule County","Chamberlain","SD",869
"2022","0100600","Chambers County","Chambers County","Lafayette","AL",3479
"2023","3105010","CHAMBERS PUBLIC SCHOOLS","Holt County","CHAMBERS","NE",135
"2024","4205550","Chambersburg Area SD","Franklin County","Chambersburg","PA",9456
"2025","1709420","Champaign CUSD 4","Champaign County","Champaign","IL",10172
"2026","1700171","Champaign/Ford ROE","Champaign County","Champaign","IL",101
"2027","3905013","Champion Local","Trumbull County","Warren","OH",1330
"2028","5000435","Champlain Islands Unified Union School District #66","Grand Isle County","Grand Isle","VT",257
"2029","5000396","Champlain Valley Unified School District","Chittenden County","Shelburne","VT",4315
"2030","4007290","CHANDLER","Lincoln County","Chandler","OK",1184
"2031","0401870","Chandler Unified District #80 (4242)","Maricopa County","CHANDLER","AZ",45749
"2032","1709510","Chaney-Monge SD 88","Will County","Crest Hill","IL",425
"2033","1709540","Channahon SD 17","Will County","Channahon","IL",1218
"2034","4813590","CHANNELVIEW ISD","Harris County","CHANNELVIEW","TX",9727
"2035","4813620","CHANNING ISD","Hartley County","CHANNING","TX",162
"2036","2004590","Chanute Public Schools","Neosho County","Chanute","KS",1881
"2037","2003390","Chaparral Schools","Harper County","Anthony","KS",845
"2038","4813650","CHAPEL HILL ISD","Smith County","TYLER","TX",3528
"2039","4813680","CHAPEL HILL ISD","Titus County","MOUNT PLEASANT","TX",1056
"2040","3700720","Chapel Hill-Carrboro City Schools","Orange County","Chapel Hill","NC",12426
"2041","0900720","Chaplin School District","Windham County","Chaplin","CT",139
"2042","2004620","Chapman","Dickinson County","Chapman","KS",1090
"2043","3606990","CHAPPAQUA CENTRAL SCHOOL DISTRICT","Westchester County","CHAPPAQUA","NY",3653
"2044","3904718","Chardon Local","Geauga County","Chardon","OH",2785
"2045","4400150","Chariho","Washington County","Wood River Junction","RI",3238
"2046","1907050","Chariton Comm School District","Lucas County","Chariton","IA",1267
"2047","4205640","Charleroi SD","Washington County","Charleroi","PA",1432
"2048","5100720","CHARLES CITY CO PBLC SCHS","Charles City County","Charles City","VA",620
"2049","1907080","Charles City Comm School District","Floyd County","Charles City","IA",1610
"2050","2400270","Charles County Public Schools","Charles County","La Plata","MD",27521
"2051","4501440","Charleston 01","Charleston County","Charleston","SC",50299
"2052","1709600","Charleston CUSD 1","Coles County","Charleston","IL",2684
"2053","2908670","CHARLESTON R-I","Mississippi County","CHARLESTON","MO",880
"2054","0504200","CHARLESTON SCHOOL DISTRICT","Franklin County","CHARLESTON","AR",914
"2055","5003060","Charleston School District","Orleans County","West Charleston","VT",115
"2056","2608730","Charlevoix Public Schools","Charlevoix County","CHARLEVOIX","MI",846
"2057","3006112","Charlo Elem","Lake County","Charlo","MT",165
"2058","3006115","Charlo H S","Lake County","Charlo","MT",86
"2059","1200240","CHARLOTTE","Charlotte County","PORT CHARLOTTE","FL",16030
"2060","5100750","CHARLOTTE CO PBLC SCHS","Charlotte County","Charlotte Court House","VA",1763
"2061","4813710","CHARLOTTE ISD","Atascosa County","CHARLOTTE","TX",452
"2062","2608770","Charlotte Public Schools","Eaton County","CHARLOTTE","MI",2530
"2063","2304160","Charlotte Public Schools","Washington County","Eastport","ME",30
"2064","3607050","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT","Delaware County","DAVENPORT","NY",412
"2065","3702970","Charlotte-Mecklenburg Schools","Mecklenburg County","Charlotte","NC",149845
"2066","5100780","CHARLOTTESVILLE CTY PBLC SCHS","Charlottesville city","Charlottesville","VA",4542
"2067","1300990","Charlton County","Charlton County","Folkston","GA",1689
"2068","0608190","Charter Oak Unified","Los Angeles County","Covina","CA",4540
"2069","1907110","Charter Oak-Ute Comm School District","Crawford County","Charter Oak","IA",196
"2070","4205700","Chartiers Valley SD","Allegheny County","Pittsburgh","PA",3323
"2071","4205730","Chartiers-Houston SD","Washington County","Houston","PA",1169
"2072","2005250","Chase County","Chase County","Cottonwood Falls","KS",385
"2073","3100163","CHASE COUNTY SCHOOLS","Chase County","IMPERIAL","NE",623
"2074","2004650","Chase-Raymond","Rice County","Chase","KS",150
"2075","2608880","Chassell Township School District","Houghton County","Chassell","MI",248
"2076","3607080","CHATEAUGAY CENTRAL SCHOOL DISTRICT","Franklin County","CHATEAUGAY","NY",513
"2077","2708220","CHATFIELD PUBLIC SCHOOLS","Olmsted County","CHATFIELD","MN",843
"2078","3607110","CHATHAM CENTRAL SCHOOL DISTRICT","Columbia County","CHATHAM","NY",999
"2079","3700750","Chatham County Schools","Chatham County","Pittsboro","NC",9196
"2080","0200730","Chatham School District","Hoonah-Angoon Census Area","Angoon","AK",152
"2081","0608250","Chatom Union","Stanislaus County","Turlock","CA",585
"2082","1301050","Chattahoochee County","Chattahoochee County","Cusseta","GA",930
"2083","4007320","CHATTANOOGA","Comanche County","Chattanooga","OK",235
"2084","1301080","Chattooga County","Chattooga County","Summerville","GA",2696
"2085","2011520","Chautauqua Co Community","Chautauqua County","Sedan","KS",385
"2086","3600018","CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT","Chautauqua County","MAYVILLE","NY",795
"2087","0600116","Chawanakee Unified","Madera County","North Fork","CA",1423
"2088","3607170","CHAZY UNION FREE SCHOOL DISTRICT","Clinton County","CHAZY","NY",460
