"","state","acfrs_original_name","id"
"166","AZ","Avondale Elementary School District No. 44","30536"
"167","AZ","Fowler Elementary School District No. 45","30543"
"168","AZ","Fort Huachuca Accommodation School District No. 00","44601"
"169","AZ","Florence Unified School District No. 1","91042"
"170","AZ","Roosevelt Elementary School District No. 66","30563"
"171","AZ","Blue Ridge Unified School District No. 32","30583"
"172","AR","Warren School District No.1","98806"
"173","AZ","Round Valley Unified School District No. 10","30516"
"174","AZ","Pendergast Elementary School District No. 92","30558"
"175","AZ","Buckeye Union High School District No. 201","1027345"
"176","AZ","Murphy Elementary School District No. 21","30555"
"177","AZ","Catalina Foothills Unified School District No. 16","30590"
"178","AZ","Baboquivari Unified School District No. 40","30592"
"179","AR","Wynne School District No.9","98815"
"180","AZ","Tempe Elementary School District No.3","30566"
"181","AZ","Saddle Mountain Unified School District No. 90","49709"
"182","AZ","Mingus Union High School District No.4","46759"
"183","AZ","Buckeye Elementary School District No. 33","1027344"
"184","AR","Vilonia School District No. 17","98803"
"185","AK","Lower Yukon School District","30409"
"186","AZ","Mohave Valley Elementary School District No. 16","45552"
"187","AZ","Osborn Elementary School District No.8","30557"
"188","AK","Lower Kuskokwim School District","223683"
"189","AZ","Chinle Unified School District No. 24","30511"
"190","AZ","Kyrene Elementary School District No. 28","30548"
"191","AZ","Lake Havasu Unified School District No.1","30578"
"192","AZ","Queen Creek Unified School District No. 95","30562"
"193","AZ","Prescott Unified School District No.1","30609"
"194","AZ","Chino Valley Unified School District No. 51","30606"
"195","AK","Matanuska Susitna Borough School District","31585"
"196","AZ","Cave Creek Unified School District No. 93","30541"
"197","AZ","Phoenix Elementary School District No.1","30560"
"198","AZ","San Carlos Unified School District No. 20","30531"
"199","AZ","Tuba City Unified School District No. 15","43081"
"200","AZ","Fountain Hills Unified School District No. 98","64755"
"201","AR","Van Buren School District 42","98802"
"202","AZ","Madison Elementary School District No. 38","30553"
"203","AZ","Flowing Wells Unified School District No.8","30591"
"204","AK","Sitka School District","31605"
"205","AZ","Tolleson Elementary School District No. 17","30568"
"206","AZ","Riverside Elementary School District No.2","49972"
"207","AK","Nenana City School District","48865"
"208","AZ","Chandler Unified School District No. 80","30542"
"209","AZ","Peoria Unified School District No. 11","30559"
"210","AZ","Alhambra Elementary School District No. 68","30535"
"211","AZ","Coolidge Unified School District No. 21","30601"
"212","AK","Pribilof School District","30401"
"213","AZ","Tempe Union High School District No. 213","30567"
"214","AR","Wilbur D. Mills Education Service Cooperative","188471"
"215","AZ","Holbrook Unified School District No.3","30580"
"216","AK","Yupiit School District","30402"
"217","AZ","Union Elementary School District No. 62","44847"
"218","AZ","Agua Fria Union High School District No. 216","1027335"
"219","AK","Copper River School District","30411"
"220","AZ","Mayer Unified School District No. 43","48835"
"221","AZ","Cottonwood-Oak Creek Elementary School District No.6","30607"
"222","AZ","Dilcon Community School Inc","49982"
"223","AZ","Litchfield Elementary School District No. 79","30551"
"224","AZ","Laveen Elementary School District No. 59","30549"
"225","AK","Southwest Region Schools","30403"
"226","AZ","Higley Unified School District No. 60","49547"
"227","AZ","Creighton Elementary School District No. 14","42671"
"228","AZ","Colorado River Union High School District No.2","40369"
"229","AZ","Liberty Elementary School District No. 25","30550"
"230","AK","Yukon Flats School District","30413"
"231","CA","Bonita Unified School District","145953"
"232","CA","Carlsbad Unified School District","145994"
"233","CA","Carmel Unified School District","145996"
"234","CA","Alta Vista Elementary School District","145884"
"235","CA","Buellton Union School District","67105"
"236","CA","Center Joint Unified School District","146004"
"237","CA","Carpinteria Unified School District","56700"
"238","AK","Petersburg School District","64747"
"239","CA","Cajon Valley Union School District","145981"
"240","AK","Northwest Arctic Borough School District","31582"
"241","CA","Castro Valley Unified School District","146002"
"242","CA","Atascadero Unified School District","31436"
"243","CA","Chino Valley Unified School District","146018"
"244","CA","Campbell Union High School District","145988"
"245","CA","Campbell Union School District","145987"
"246","AZ","Yuma Elementary School District No.1","30613"
"247","AZ","Washington Elementary School District No.6","30570"
"248","CA","Beardsley School District","31159"
"249","CA","Calaveras County Office of Education","31671"
"250","CA","Central Union School District","31180"
"251","CA","Centralia School District","146010"
"252","CA","Bellevue Union School District","145927"
"253","CA","Bear Valley Unified School District","145922"
"254","CA","Central Unified School District","146007"
"255","CA","Berryessa Union School District","145934"
"256","CA","Burbank Unified School District","145971"
"257","AZ","Willcox Unified School District No. 13","30524"
"258","CA","Alhambra Unified School District","145877"
"259","AK","Southeast Island School District","65158"
"260","CA","Alvord Unified School District","145889"
"261","AZ","Kayenta Unified School District No. 27","30581"
"262","CA","Brea Olinda Unified School District","145960"
"263","CA","Caruthers Unified School District","145998"
"264","AK","Chatham School District","64745"
"265","AZ","Crane Elementary School District No. 13","30610"
"266","CA","Cambrian School District","98839"
"267","AZ","Sacaton Elementary School District No. 18","30603"
"268","AK","Kodiak Island Borough School District","31584"
"269","CA","Atwater Elementary School District","145907"
"270","CA","Anderson Valley Unified School District","145894"
"271","CA","Chowchilla Union High School District","146020"
"272","AK","Nome Public Schools","40367"
"273","CA","Arcata Elementary School District","145900"
"274","CA","Arcadia Unified School District","145899"
"275","AZ","Wilson Elementary School District No.7","44798"
"276","AK","City and Borough of Juneau School District","40426"
"277","CA","Bakersfield City School District","145911"
"278","AZ","Snowflake Unified School District No.5","30585"
"279","CA","Chico Unified School District","146017"
"280","AZ","Somerton Elementary School District No. 11","30612"
"281","CA","Central School District","146006"
"282","AZ","Gadsden Elementary School District No. 32","30611"
"283","CA","ABC Unified School District","145869"
"284","CA","Beaumont Unified School District","145924"
"285","AZ","Yuma Union High School District No. 70","30614"
"286","CA","Capistrano Unified School District","145992"
"287","CA","Dry Creek Joint Elementary School District","146082"
"288","CA","Galt Joint Union High School District","146158"
"289","CA","Conejo Valley Unified School District","146044"
"290","CA","Claremont Unified School District","146026"
"291","CA","Fountain Valley School District","98862"
"292","CA","Fremont Union High School District","146151"
"293","CA","Cupertino Union School District","146057"
"294","CA","Hueneme Elementary School District","146221"
"295","CA","Cloverdale Unified School District","146029"
"296","CA","Huntington Beach Union High School District","146225"
"297","CA","Delano Union School District","146069"
"298","CA","Clovis Unified School District","146030"
"299","CA","Meadows Union School District","146368"
"300","CA","Corcoran Unified School District","42538"
"301","CA","East Side Union High School District","146094"
"302","CA","Colton Joint Unified School District","146038"
"303","CA","Fontana Unified School District","146138"
"304","CA","Colusa County Office of Education","91419"
"305","CA","Dublin Unified School District","146084"
"306","CA","Firebaugh-Las Deltas Unified School District","146135"
"307","CA","Fresno Unified School District","146154"
"308","CA","Gateway Unified School District","146163"
"309","CA","La Canada Unified School District","44679"
"310","CA","Fort Bragg Unified School District","146142"
"311","CA","Inglewood Unified School District","43068"
"312","CA","Franklin-Mckinley School District","98863"
"313","CA","Grossmont Union High School District","146189"
"314","CA","Kernville Union School District","146254"
"315","CA","Kerman Unified School District","146251"
"316","CA","Etiwanda School District","146118"
"317","CA","Delhi Unified School District","146070"
"318","CA","East Whittier City School District","146095"
"319","CA","Farmersville Unified School District","146130"
"320","CA","Fairfax Elementary School District","31162"
"321","CA","La Mesa-Spring Valley School District","146273"
"322","CA","Laguna Beach Unified School District","146275"
"323","CA","Escalon Unified School District","146114"
"324","CA","Empire Union School District","146111"
"325","CA","Gilroy Unified School District","146168"
"326","CA","Hawthorne School District","146202"
"327","CA","Colusa Unified School District","146042"
"328","CA","Escondido Union High School District","146116"
"329","CA","Lompoc Unified School District","146323"
"330","CA","Encinitas Union School District","146112"
"331","CA","Galt Joint Union Elementary School District","42893"
"332","CA","Guadalupe Union School District","146190"
"333","CA","Eastern Sierra Unified School District","146096"
"334","CA","Fruitvale Elementary School District","67308"
"335","CA","Garden Grove Unified School District","146160"
"336","CA","Kern High School District","31164"
"337","CA","Madera Unified School District","93679"
"338","CA","Fallbrook Union High School District","146129"
"339","CA","El Monte City School District","31210"
"340","CA","Hacienda La Puente Unified School District","146193"
"341","CA","Garvey School District","146162"
"342","CA","Big Pine Unified School District","31682"
"343","CA","Elk Grove Unified School District","146106"
"344","CA","Downey Unified School District","146081"
"345","CA","Fullerton School District","146156"
"346","CA","Jefferson Elementary School District","67412"
"347","CA","Duarte Unified School District","146083"
"348","CA","Mountain View Los Altos Union High School District","31473"
"349","CA","Escondido Union School District","146115"
"350","CA","Contra Costa County Office of Education","40311"
"351","CA","Cutler Orosi Joint Unified School District","108402"
"352","CA","Gridley Unified School District","146188"
"353","CA","Fullerton Joint Union High School District","146157"
"354","CA","Lammersville Unified School District","146286"
"355","CA","Irvine Unified School District","29936"
"356","CA","King City Union School District","146256"
"357","CA","Edison Elementary School District","146098"
"358","CA","La Habra City School District","146271"
"359","CA","Moreland School District","146398"
"360","CA","Hesperia Unified School District","146210"
"361","CA","Panama Buena Vista Union School District","146487"
"362","CA","Marysville Joint Unified School District","146359"
"363","CA","Rowland Unified School District","146580"
"364","CA","Kings River Union Elementary School District","146259"
"365","CA","Linden Unified School District","146311"
"366","CA","Simi Valley Unified School District","146654"
"367","CA","Ocean View School District","399402"
"368","CA","Palo Alto Unified School District","146483"
"369","CA","Rialto Unified School District","146550"
"370","CA","Orange Unified School District","146459"
"371","CA","San Diego County Office of Education","31711"
"372","CA","Lemon Grove School District","146302"
"373","CA","Newport-Mesa Unified School District","146434"
"374","CA","Santa Maria-Bonita School District","146623"
"375","CA","Montecito Union School District","146393"
"376","CA","Richgrove Elementary School District","146552"
"377","CA","Nevada County Superintendent of Schools","43509"
"378","CA","Ramona Unified School District","146535"
"379","CA","Natomas Unified School District","146422"
"380","CA","Lucia Mar Unified School District","146340"
"381","CA","South San Francisco Unified School District","146670"
"382","CA","San Jose Unified School District","146598"
"383","CA","Poway Unified School District","146530"
"384","CA","Pioneer Union Elementary School District","67709"
"385","CA","Oxnard School District","146470"
"386","CA","Orland Joint Unified School District","67669"
"387","CA","Oro Grande School District","45615"
"388","CA","San Diego Unified School District","146593"
"389","CA","Orcutt Union School District","146461"
"390","CA","Oroville Union High School District","146467"
"391","CA","San Leandro Unified School District","146600"
"392","CA","San Mateo Union High School District","146608"
"393","CA","Salinas Union High School District","146585"
"394","CA","Oak Grove School District","146445"
"395","CA","San Juan Unified School District","1133173"
"396","CA","Mt. Pleasant Elementary School District","67615"
"397","CA","Newark Unified School District","146431"
"398","CA","Placentia-Yorba Linda Unified School District","146507"
"399","CA","Ontario-Montclair School District","146457"
"400","CA","Sunnyvale School District","146691"
"401","CA","Silver Valley Unified School District","146653"
"402","CA","Placer Union High School District","146509"
"403","CA","Norwalk-La Mirada Unified School District","146441"
"404","CA","San Marino Unified School District","146606"
"405","CA","Rim of the World Unified School District","146555"
"406","CA","Santa Clara County Office of Education","31717"
"407","CA","Northern Humboldt Union High School District","146440"
"408","CA","Las Virgenes Unified School District","146292"
"409","CA","Oxnard Union High School District","146471"
"410","CA","Paramount Unified School District","146491"
"411","CA","Santee School District","31419"
"412","CA","Rosemead Elementary School District","67777"
"413","CA","South Bay Union School District (San Diego County)","31422"
"414","CA","Old Adobe Union School District","146456"
"415","CA","Santa Clara Unified School District","146621"
"416","CA","Ripon Unified School District","146560"
"417","CA","San Marcos Unified School District","146605"
"418","CA","Mountain View Whisman School District","146411"
"419","CA","Rincon Valley Union School District","98934"
"420","CA","Pasadena Unified School District","146493"
"421","CA","Rocklin Unified School District","146568"
"422","CA","Rescue Union School District","146549"
"423","CA","South Whittier School District","146671"
"424","CA","Placerville Union School District","91072"
"425","CA","South Pasadena Unified School District","146669"
"426","CA","Rosedale Union Elementary School District","46632"
"427","CA","Norris Elementary School District","51682"
"428","CA","Santa Ana Unified School District","146617"
"429","CA","Rio Bravo-Greeley Union School District","51579"
"430","CA","Los Angeles County Office of Education","31688"
"431","CA","Stanislaus Union School District","146681"
"432","CA","Redondo Beach Unified School District","146544"
"433","CA","Palos Verdes Peninsula Unified School District","146486"
"434","CA","Saddleback Valley Unified School District","146582"
"435","CA","Susanville School District","146694"
"436","CA","Santa Barbara County Education Office","146618"
"437","CA","San Bernardino County Superintendent of Schools","67799"
"438","CA","Sacramento County Office of Education","31707"
"439","CA","Little Lake City School District","146314"
"440","CA","Tipton Elementary School District","146710"
"441","CA","Sulphur Springs Union Elementary School District","67938"
"442","CA","Yucaipa-Calimesa Joint Unified School District","146806"
"443","CA","Magnolia School District","146344"
"444","CA","Wasco Union School District","57264"
"445","CA","Santa Rita Union School District","146626"
"446","CA","Lodi Unified School District","146320"
"447","CA","Westminster School District","31328"
"448","CA","Wright Elementary School District","146801"
"449","CA","Livermore Valley Joint Unified School District","146318"
"450","CA","Contra Costa County Special Education Local Plan Area","45569"
"451","CA","Loomis Union School District","146326"
"452","CA","Thermalito Union Elementary School District","67960"
"453","CA","Monterey County Office of Education","31696"
"454","CA","Wilsona School District","146791"
"455","CA","Novato Unified School District","146442"
"456","CA","Mill Valley School District","146380"
"457","CA","West Covina Unified School District","146768"
"458","CA","Benicia Unified School District","145931"
"459","CA","Valle Lindo School District","146739"
"460","CA","Nuview Union School District","146444"
"461","CA","Fairfield Suisun Unified School District","31501"
"462","CA","Le Grand Union Elementary School District","146299"
"463","CA","John Swett Unified School District","146239"
"464","CA","Fall River Joint Unified School District","146127"
"465","CA","Ukiah Unified School District","146730"
"466","CA","Greater Anaheim Special Education Local Plan Area","47326"
"467","CA","Corning Union Elementary School District","146046"
"468","CA","Brentwood Union School District","98831"
"469","CA","Ventura County Office of Education","31734"
"470","CA","Whittier Union High School District","146783"
"471","CA","Grass Valley Elementary School District","146180"
"472","CA","Anderson Union High School District","145893"
"473","CA","Hemet Unified School District","146208"
"474","CA","Walnut Valley Unified School District","146754"
"475","CA","Windsor Unified School District","146792"
"476","CA","Taft City School District","146698"
"477","CA","Calistoga Joint Unified School District","145985"
"478","CA","Oakley Union Elementary School District","146452"
"479","CA","Tehama County Department of Education","109755"
"480","CA","Desert Sands Unified School District","1053268"
"481","CA","Lafayette School District","146274"
"482","CA","Corona-Norco Unified School District","146048"
"483","CA","Tulare City School District","146720"
"484","CA","Lost Hills Union Elementary School District","67524"
"485","CA","Temple City Unified School District","31249"
"486","CA","Coachella Valley Unified School District","146031"
"487","CA","Laton Joint Unified School District","146295"
"488","CA","Lake Elsinore Unified School District","146281"
"489","CA","Evergreen Union Elementary School District","146123"
"490","CA","Murrieta Valley Unified School District","31350"
"491","CA","Wheatland Elementary School District","146779"
"492","CA","Yolo County Office of Education","45630"
"493","CA","Williams Unified School District","146785"
"494","CA","Western Placer Unified School District","296144"
"495","CA","Moorpark Unified School District","146396"
"496","CA","Tulare Joint Union High School District","146721"
"497","CA","Liberty Union High School District","146308"
"498","CA","Lemoore Union High School District","146304"
"499","CA","Lakeport Unified School District","146283"
"500","CA","Apple Valley Unified School District","145898"
"501","CA","Kelseyville Unified School District","146247"
"502","CA","Davis Joint Unified School District","146063"
"503","CA","Taft Union High School District","146699"
"504","CA","Vacaville Unified School District","146737"
"505","CA","Esparto Unified School District","146117"
"506","CA","Acalanes Union High School District","145870"
"507","CA","Martinez Unified School District","146358"
"508","CA","Nevada Joint Union High School District","146426"
"509","CA","Mojave Unified School District","146386"
"510","CA","Upland Unified School District","146734"
"511","CA","Live Oak Unified School District","146317"
"512","CA","Lincoln Unified School District","146310"
"513","CA","Dixon Unified School District","146078"
"514","CA","Yuba City Unified School District","31516"
"515","CA","Washington Unified School District","31913"
"516","CA","Long Beach Unified School District","146325"
"517","CA","Santa Barbara Unified School District","146619"
"518","CA","Monterey Peninsula Unified School District","146394"
"519","CA","Trinity County Office of Education","31731"
"520","CA","Parlier Unified School District","146492"
"521","CO","Colorado Springs School District 11","32047"
"522","CO","Durango School District 9-R","32060"
"523","CA","Tamalpais Union High School District","146701"
"524","CA","Modesto City Schools","31513"
"525","CO","Adams 12 Five Star Schools","32033"
"526","CO","Brush School District No. Re-2j","65551"
"527","CO","Lamar School District Re-2","32076"
"528","CO","Calhan School District RJ-1","64782"
"529","CO","Lake County School District R-1","32058"
"530","CA","Los Alamitos Unified School District","146327"
"531","CA","Santa Maria Joint Union High School District","146622"
"532","CO","Weld County School District 6","32085"
"533","CO","Logan County School District No. Re-1 Valley","32067"
"534","CO","Gunnison Watershed School District Re-1","32056"
"535","CA","Lemoore Union Elementary School District","146303"
"536","CA","Perris Elementary School District","146498"
"537","CA","Salida Union School District","146583"
"538","CO","Morgan County School District Re-3","1143212"
"539","CO","Delta County Joint School District No. 50j","282019"
"540","CA","Redding Elementary School District","146542"
"541","CA","San Jacinto Unified School District","146597"
"542","CO","Monte Vista School District No.8","32081"
"543","CO","Pikes Peak Board of Cooperative Educational Services","46642"
"544","CA","Morgan Hill Unified School District","146400"
"545","CO","Southeastern BOCES","93774"
"546","CO","East Grand School District No.2","54837"
"547","CA","San Luis Coastal Unified School District","146604"
"548","CA","Woodlake Unified School District","146797"
"549","CA","San Joaquin County Office of Education","45553"
"550","CO","Weld County School District RE-5J","48524"
"551","CO","St Vrain Valley School District Re-1j","32039"
"552","CA","Temecula Valley Unified School District","146704"
"553","CA","Le Grand Union High School District","146300"
"554","CO","Eagle County Schools District","196443"
"555","CA","Val Verde Unified School District","146738"
"556","CA","Twin Rivers Unified School District","146728"
"557","CA","Travis Unified School District","146714"
"558","CA","Riverdale Joint Unified School District","146563"
"559","CO","Montezuma County Cortez School District Re-1","32070"
"560","CO","North Conejos School District Re-1j","32042"
"561","CA","Pierce Joint Unified School District","146501"
"562","CO","Joint School District No 28-J of the Counties of Adams and Arapahoe","32038"
"563","CO","South Central BOCES","32080"
"564","CA","Riverside County Office of Education","31705"
"565","CA","Los Gatos Union School District","399392"
"566","CA","Woodland Joint Unified School District","146798"
"567","CA","Pacific Grove Unified School District","146474"
"568","CO","Moffat County School District Re-1","32069"
"569","CO","Summit School District Re-1","47405"
"570","CO","Las Animas County School District Number Re-1","93770"
"571","CA","Yosemite Unified School District","146802"
"572","CA","Perris Union High School District","146499"
"573","CO","Rocky Ford School District R-2","32074"
"574","CO","Westminster Public Schools","32032"
"575","CA","Milpitas Unified School District","146383"
"576","CO","Montrose County School District Re-1j","32071"
"577","CO","San Juan Board of Cooperative Educational Services","32062"
"578","CA","Romoland School District","146570"
"579","CO","Weld County School District Re-4","32087"
"580","CA","Winters Joint Unified School District","146794"
"581","CO","Mesa County Valley School District No. 51","32068"
"582","CO","El Paso County School District No.3","50441"
"583","CO","Santa Fe Trail BOCES","46575"
"584","CO","Garfield County School District No. 16","1143186"
"585","CO","Arapahoe County School District No. 1","32037"
"586","CA","Plumas Lake Elementary School District","146521"
"587","CO","East Central Board of Cooperative Educational Services","32066"
"588","CO","El Paso County School District No.8","32049"
"589","CO","San Luis Valley BOCES","32035"
"590","CO","Archuleta School District 50 Jt","52079"
"591","CO","Arapahoe County School District Number Six","41980"
"592","CO","Lewis-Palmer School District 38","50907"
"593","CA","Palo Verde Unified School District","146484"
"594","CO","Pueblo County School District No. 70","223943"
"595","CO","El Paso County School District Two-Harrison","32050"
"596","CO","School District Fremont Re-1","32052"
"597","CO","Alamosa School District RE-11 J","32034"
"598","CA","Palm Springs Unified School District","146479"
"599","CO","Weld County School District Re-3j","32086"
"600","CO","Roaring Fork School District Re-1","32054"
"601","CA","Mammoth Unified School District","146346"
"602","CO","Pueblo School District No. 60","32078"
"603","CO","Poudre School District","32063"
"604","CO","Woodland Park School District Re-2","32084"
"605","CO","Estes Park School District No.R-3","48024"
"606","CO","El Paso County School District 49","32048"
"607","CO","Colorado River Board of Cooperative Educational Services","59201"
"608","CO","Center Consolidated School District 26 Jt","68071"
"609","CO","Wray School District Rd-2","93776"
"610","CO","Elizabeth School District","57430"
"611","CA","Mckinleyville Union School District","146365"
"612","CO","Cherry Creek School District No 5","32036"
"613","CO","Thompson School District R2-J","32064"
"614","CO","Counties of Adams Weld and Broomfield School District 27j","196446"
"615","FL","Duval County Public Schools","165645"
"616","FL","District School Board of Escambia County","69024"
"617","CT","Amity Regional School District No 5","68140"
"618","CT","Capitol Regional Education Council","32208"
"619","FL","Calhoun County District School Board","32374"
"620","CT","Regional School District No. 16","49682"
"621","FL","Gulf County District School Board","32390"
"622","FL","Volusia County District School Board","70626"
"623","FL","Leon County District School Board","32403"
"624","FL","Taylor County District School Board","32427"
"625","FL","Sarasota County District School Board","70160"
"626","FL","District School Board of Hernando County","224006"
"627","FL","Nassau County District School Board","32411"
"628","FL","The School Board of Broward County","68696"
"629","FL","School District of Polk County","98989"
"630","GA","Bartow County Board of Education","70741"
"631","FL","Hardee County District School Board","1160267"
"632","GA","Douglas County Board of Education","70977"
"633","FL","Monroe County School District","32410"
"634","GA","School District Atlanta Public Schools","70961"
"635","GA","Decatur County Board of Education","70976"
"636","FL","Martin County District School Board","400021"
