"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"101","KS","Unified School District 246",NA,224307,2021,"School District",0,0,0,0,0,0,5158921,0,0,0,0,0,0,0,10303241,-17086,10320327,0,0,0,10303241,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","KS","Circle Unified School District No. 375",NA,224281,2021,"School District",0,89140000,0,0,0,0,16575884,0,0,0,0,0,0,0,76644999,44409158,32235841,0,0,0,76644999,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","KS","Three Lakes Educational Cooperative",NA,224302,2021,"School District",0,0,0,0,0,0,782610,0,0,0,0,0,0,0,8221870,164512,8057358,0,0,0,8221870,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","KS","Clearwater Unified School District No. 264",NA,224282,2021,"School District",0,19535000,0,274872,0,0,9881705,0,0,0,0,0,0,0,20400808,849211,19551597,0,0,0,20400808,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","KS","Unified School District No 362 Prairie View",NA,224320,2021,"School District",0,11170000,0,0,0,0,11494896,0,0,0,33117,0,0,0,28966787,7729205,21237582,0,0,0,28966787,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","KS","Unified School District No. 206",NA,224312,2021,"School District",0,14175000,0,0,0,0,5505469,0,0,0,0,0,0,0,10502371,-6179025,16681396,0,0,0,10502371,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","KS","Unified School District No. 251",NA,224313,2021,"School District",0,0,0,0,0,0,4282688,0,0,0,0,0,0,0,8235749,314035,7921714,0,0,0,8235749,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","KS","Shawnee Mission Union School District No. 512",NA,196794,2021,"School District",803858690,468964356,31169108,3973545,0,0,274227245,0,11485008,0,3333854,3726424,91640147,0,292518595,45803888,342081278,0,0,0,387885166,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","KS","South Barber Unified School District No. 255",NA,224299,2021,"School District",0,0,0,23558,0,0,2691016,0,0,0,0,0,0,0,6047290,431387,5615903,0,0,0,6047290,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","KS","Unified School District 343",NA,224309,2021,"School District",0,4265000,0,487619,0,0,7066879,0,103800,0,0,0,0,0,15699687,745080,14954607,0,0,0,15699687,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","KS","East Central Cooperative in Education",NA,224283,2021,"School District",0,0,0,0,0,0,331978,0,0,0,0,0,0,0,7977679,634379,7343300,0,0,0,7977679,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","KS","Unified School District 404",NA,224310,2021,"School District",0,10490000,0,0,0,0,7664933,0,0,0,0,0,0,0,13578249,424665,13153584,0,0,0,13578249,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","KS","Unified School District No. 287",NA,224316,2021,"School District",0,12515000,0,302838,0,0,6856768,0,0,0,0,0,0,0,19520274,-81072,19601346,0,0,0,19520274,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
